"Ligand"	"Receptor"	"neighborhood"	"neighborhood_transferred"	"fusion"	"cooccurence"	"homology"	"coexpression"	"coexpression_transferred"	"experiments"	"experiments_transferred"	"database"	"database_transferred"	"textmining"	"textmining_transferred"	"combined_score"
"Ebi3.Il27ra"	"Ebi3"	"Il27ra"	0	0	0	0	0	0	0	0	164	0	559	0	175	669
"Wnt3.Igf1r"	"Wnt3"	"Igf1r"	0	0	0	0	0	0	0	0	110	0	0	108	529	593
"Fgf23.Igf1r"	"Fgf23"	"Igf1r"	0	0	0	0	0	0	0	0	0	800	0	127	137	836
"Fgf6.Igf1r"	"Fgf6"	"Igf1r"	0	0	0	0	0	0	0	0	0	800	0	136	137	837
"Ins2.Igf1r"	"Ins2"	"Igf1r"	0	0	0	0	0	0	0	0	260	800	563	413	802	991
"Cdh1.Igf1r"	"Cdh1"	"Igf1r"	0	0	0	0	0	0	0	0	104	0	559	874	525	973
"Pdgfb.Igf1r"	"Pdgfb"	"Igf1r"	0	0	0	0	0	0	0	0	108	800	0	158	100	846
"Il4.Igf1r"	"Il4"	"Igf1r"	0	0	0	0	0	0	0	0	0	0	0	0	159	158
"Efnb2.Igf1r"	"Efnb2"	"Igf1r"	0	0	0	0	0	0	0	0	154	0	0	74	68	206
"Col1a1.Igf1r"	"Col1a1"	"Igf1r"	0	0	0	0	0	0	0	0	0	0	0	111	106	171
"Ace.Igf1r"	"Ace"	"Igf1r"	0	0	0	0	0	0	0	0	0	0	0	66	137	159
"Bmp8b.Igf1r"	"Bmp8b"	"Igf1r"	0	0	0	0	0	0	0	0	68	0	0	0	151	174
"Tgfb1.Igf1r"	"Tgfb1"	"Igf1r"	0	0	0	0	0	0	0	0	68	0	0	232	151	339
"Shh.Igf1r"	"Shh"	"Igf1r"	0	0	0	0	0	0	0	0	0	0	0	78	118	152
"Apoe.Igf1r"	"Apoe"	"Igf1r"	0	0	0	0	0	0	0	0	0	0	0	117	177	242
"Efna2.Igf1r"	"Efna2"	"Igf1r"	0	0	0	0	0	0	0	0	154	800	0	53	68	830
"Tgfb3.Igf1r"	"Tgfb3"	"Igf1r"	0	0	0	0	0	0	0	0	68	0	0	97	151	223
"Calr.Igf1r"	"Calr"	"Igf1r"	0	0	0	0	0	0	0	0	64	0	0	0	635	643
"Efnb3.Igf1r"	"Efnb3"	"Igf1r"	0	0	0	0	0	0	0	0	154	0	0	52	68	187
"Sst.Igf1r"	"Sst"	"Igf1r"	0	0	0	0	0	0	0	0	0	0	0	78	208	238
"Pgf.Igf1r"	"Pgf"	"Igf1r"	0	0	0	0	0	0	0	0	82	800	0	52	75	817
"Shbg.Igf1r"	"Shbg"	"Igf1r"	0	0	0	0	0	0	0	0	0	0	0	0	188	188
"App.Igf1r"	"App"	"Igf1r"	0	0	0	0	0	0	0	0	72	0	0	70	108	162
"Sst.Adcy9"	"Sst"	"Adcy9"	0	0	0	0	0	0	0	0	0	900	0	64	338	932
"App.Adcy9"	"App"	"Adcy9"	0	0	0	0	0	0	0	0	0	900	0	0	84	904
"Wnt3.Kit"	"Wnt3"	"Kit"	0	0	0	0	0	0	0	0	110	0	0	161	74	248
"Fgf23.Kit"	"Fgf23"	"Kit"	0	0	0	0	0	0	0	0	64	800	0	61	219	844
"Fgf6.Kit"	"Fgf6"	"Kit"	0	0	0	0	0	0	0	0	64	800	0	99	219	850
"Ccl2.Kit"	"Ccl2"	"Kit"	0	0	0	0	0	0	0	0	0	0	0	354	0	354
"Ins2.Kit"	"Ins2"	"Kit"	0	0	0	0	0	0	0	0	80	800	0	143	336	881
"Cdh1.Kit"	"Cdh1"	"Kit"	0	0	0	0	0	143	0	0	0	0	0	915	0	924
"Pdgfb.Kit"	"Pdgfb"	"Kit"	0	0	0	0	0	0	0	0	172	800	310	550	106	945
"Fasl.Kit"	"Fasl"	"Kit"	0	0	0	0	0	0	0	0	106	0	0	216	0	269
"Il4.Kit"	"Il4"	"Kit"	0	0	0	0	0	0	0	0	0	0	0	64	737	743
"Ccl3.Kit"	"Ccl3"	"Kit"	0	0	0	0	0	0	0	0	0	0	0	172	0	171
"Efnb2.Kit"	"Efnb2"	"Kit"	0	0	0	0	0	0	0	0	154	0	0	57	91	211
"Col1a1.Kit"	"Col1a1"	"Kit"	0	0	0	0	0	0	0	0	0	0	0	240	64	258
"Ace.Kit"	"Ace"	"Kit"	0	0	0	0	0	0	0	0	0	0	0	216	0	216
